t,x,y,z,yaw
3.7350,-0.023593,-0.012358,0.119919,-37.7117
3.7500,-0.023605,-0.012369,0.120010,-37.7120
3.7660,-0.023466,-0.011565,0.118974,-37.6977
3.7820,-0.023039,-0.011068,0.119624,-37.7266
3.8130,-0.022984,-0.010928,0.119680,-37.7273
3.8290,-0.023653,-0.012173,0.119321,-37.6991
3.8440,-0.023677,-0.012205,0.119310,-37.6989
3.8750,-0.023697,-0.012233,0.119303,-37.6977
3.8910,-0.023719,-0.012258,0.119297,-37.6984
3.9070,-0.023546,-0.011549,0.117929,-37.6850
3.9220,-0.024664,-0.012804,0.116548,-37.6696
3.9540,-0.023810,-0.012027,0.118478,-37.6787
3.9690,-0.024081,-0.012807,0.118020,-37.6677
3.9850,-0.024126,-0.012887,0.117944,-37.6672
4.0000,-0.024679,-0.012604,0.116745,-37.6187
4.0320,-0.024771,-0.012671,0.116539,-37.6176
4.0470,-0.024865,-0.012738,0.116337,-37.6176
4.0630,-0.025647,-0.012785,0.115153,-37.5987
4.0940,-0.023501,-0.011230,0.117536,-37.6231
4.1100,-0.024102,-0.011871,0.117114,-37.5825
4.1250,-0.024085,-0.011853,0.117080,-37.5823
4.1410,-0.024538,-0.012826,0.116558,-37.5724
4.1720,-0.024826,-0.012344,0.116104,-37.5622
4.1880,-0.024880,-0.012346,0.115943,-37.5631
4.2040,-0.023284,-0.011148,0.118492,-37.6061
4.2350,-0.023745,-0.011681,0.117941,-37.5658
4.2500,-0.023663,-0.011592,0.118054,-37.5662
4.2660,-0.024271,-0.012142,0.117103,-37.5476
4.2820,-0.024590,-0.012922,0.116458,-37.5441
4.3130,-0.023782,-0.011850,0.118161,-37.6702
4.3290,-0.023416,-0.011271,0.118336,-38.3689
4.3440,-0.022555,-0.009243,0.119375,-39.5877
4.3600,-0.022725,-0.007834,0.119874,-40.3266
4.3910,-0.022428,-0.006915,0.119327,-40.5930
4.4070,-0.021751,-0.005904,0.119071,-41.0947
4.4220,-0.022053,-0.006869,0.119078,-41.2901
4.4540,-0.022123,-0.005485,0.119509,-41.3337
4.4690,-0.021664,-0.004412,0.119162,-40.9353
4.4850,-0.022710,-0.005792,0.119171,-40.5616
4.5000,-0.023544,-0.006102,0.118230,-40.3396
4.5320,-0.023233,-0.003889,0.119059,-40.1125
4.5470,-0.023165,-0.003469,0.119369,-39.9698
4.5630,-0.022393,-0.002814,0.119828,-39.9083
4.5940,-0.021794,-0.002630,0.120500,-39.8477
4.6100,-0.021027,-0.002852,0.121696,-39.7780
4.6250,-0.021874,-0.005199,0.123331,-39.7643
4.6410,-0.020930,-0.005433,0.126266,-39.9239
4.6720,-0.019255,-0.004769,0.129758,-40.1112
4.6880,-0.018074,-0.004909,0.135256,-40.3101
4.7040,-0.016901,-0.004300,0.142133,-40.3306
4.7350,-0.015707,-0.004596,0.149634,-40.3528
4.7500,-0.016445,-0.007942,0.158266,-40.4278
4.7660,-0.015446,-0.007083,0.167343,-40.6750
4.7820,-0.014314,-0.007806,0.177340,-41.0850
4.8130,-0.013233,-0.008734,0.188391,-41.7162
4.8290,-0.012190,-0.009671,0.200230,-42.3329
4.8440,-0.011200,-0.010483,0.212760,-42.7937
4.8600,-0.011368,-0.010939,0.225444,-43.2701
4.8910,-0.010563,-0.011254,0.239581,-43.4957
4.9070,-0.010298,-0.011385,0.254104,-43.4658
4.9220,-0.009759,-0.011263,0.269553,-43.2704
4.9540,-0.009718,-0.011396,0.284806,-43.2753
4.9690,-0.009630,-0.011476,0.300508,-43.4164
4.9850,-0.009526,-0.011424,0.316673,-43.4584
5.0000,-0.009353,-0.011107,0.333479,-43.3481
5.0320,-0.012772,-0.015435,0.358105,-43.1130
5.0470,-0.014003,-0.017386,0.375944,-43.0830
5.0630,-0.015118,-0.018265,0.393483,-43.6558
5.0940,-0.016150,-0.019194,0.410909,-44.5397
5.1100,-0.017017,-0.019768,0.428367,-44.9974
5.1250,-0.017523,-0.020042,0.445281,-44.8375
5.1410,-0.018698,-0.019875,0.463214,-44.4871
5.1720,-0.019458,-0.020211,0.480917,-44.5186
5.1880,-0.020362,-0.020796,0.498797,-44.7484
5.2040,-0.021191,-0.021579,0.516592,-45.0828
5.2350,-0.021454,-0.022749,0.533345,-45.4727
5.2500,-0.022128,-0.023539,0.550471,-45.8508
5.2660,-0.022337,-0.023963,0.566185,-45.7202
5.2820,-0.022786,-0.024095,0.581740,-44.8560
5.3130,-0.023461,-0.024293,0.597171,-43.9701
5.3290,-0.024332,-0.025038,0.612719,-43.6787
5.3440,-0.025093,-0.026249,0.627671,-43.9314
5.3750,-0.025846,-0.027830,0.642148,-44.5175
5.3910,-0.026666,-0.029498,0.656342,-45.1852
5.4070,-0.027704,-0.030952,0.670059,-45.8709
5.4220,-0.026515,-0.029374,0.686152,-45.9321
5.4540,-0.026328,-0.027743,0.700514,-44.9781
5.4690,-0.026914,-0.027309,0.712280,-43.8705
5.4850,-0.027684,-0.027610,0.723349,-43.4035
5.5000,-0.028508,-0.028408,0.733360,-43.9585
5.5320,-0.029361,-0.029794,0.742604,-44.3930
5.5470,-0.030807,-0.030532,0.752322,-44.8122
5.5630,-0.032362,-0.030906,0.761588,-45.0202
5.5940,-0.033957,-0.030878,0.770210,-44.9372
5.6100,-0.035651,-0.030608,0.778182,-44.3455
5.6250,-0.037991,-0.029613,0.786639,-43.6007
5.6410,-0.042090,-0.033193,0.793095,-42.9077
5.6720,-0.044405,-0.033940,0.800246,-42.8921
5.6880,-0.046811,-0.034925,0.807602,-43.3180
5.7040,-0.049317,-0.035948,0.815267,-43.9551
5.7190,-0.052394,-0.037964,0.821519,-44.2773
5.7500,-0.054903,-0.038535,0.826985,-44.4496
5.7660,-0.054915,-0.037178,0.836933,-44.5609
5.7970,-0.056846,-0.037220,0.843150,-44.4761
5.8130,-0.057796,-0.036290,0.850199,-44.3544
5.8290,-0.059002,-0.035348,0.856825,-43.8844
5.8440,-0.060345,-0.034322,0.863505,-43.1854
5.8750,-0.061814,-0.033444,0.870445,-42.4793
5.8910,-0.063440,-0.032868,0.877468,-41.9795
5.9070,-0.065056,-0.032833,0.884305,-41.7906
5.9220,-0.066712,-0.033243,0.890922,-42.0145
5.9540,-0.068064,-0.033890,0.897272,-42.7319
5.9690,-0.069238,-0.034251,0.903738,-43.4153
5.9850,-0.070201,-0.034180,0.910447,-44.0185
6.0000,-0.071237,-0.033989,0.916997,-44.2328
6.0320,-0.072014,-0.033431,0.923324,-44.1505
6.0470,-0.072821,-0.032619,0.929688,-43.8322
6.0630,-0.073200,-0.031896,0.935448,-43.2536
6.0940,-0.073909,-0.030575,0.942731,-43.2609
6.1100,-0.074479,-0.029856,0.949172,-43.1907
6.1250,-0.075022,-0.029495,0.955703,-43.1302
6.1410,-0.075463,-0.029092,0.962267,-43.3292
6.1720,-0.076022,-0.028611,0.968866,-43.6315
6.1880,-0.076438,-0.028145,0.974967,-43.7252
6.2040,-0.076800,-0.028147,0.980508,-43.6378
6.2350,-0.077196,-0.027701,0.986401,-43.6921
6.2500,-0.077674,-0.027249,0.992323,-43.8599
6.2660,-0.078171,-0.026727,0.998077,-44.0726
6.2820,-0.078673,-0.026025,1.003605,-44.1389
6.3130,-0.078839,-0.025732,1.007784,-44.0055
6.3290,-0.079241,-0.024849,1.012145,-43.9618
6.3440,-0.079703,-0.023795,1.016269,-44.0507
6.3600,-0.080493,-0.022119,1.021210,-43.9192
6.3910,-0.081160,-0.020279,1.025681,-43.3901
6.4070,-0.081702,-0.018529,1.030036,-42.8248
6.4220,-0.082239,-0.016942,1.034227,-42.4978
6.4540,-0.082771,-0.015606,1.037877,-42.4769
6.4690,-0.083287,-0.014498,1.040930,-42.5946
6.4850,-0.083816,-0.013516,1.043755,-42.7189
6.5000,-0.084735,-0.012173,1.048088,-42.5978
6.5320,-0.085490,-0.011099,1.052094,-42.4114
6.5470,-0.086262,-0.010037,1.055944,-42.4259
6.5630,-0.086987,-0.009148,1.059683,-42.5990
6.5940,-0.087722,-0.008364,1.062981,-42.7963
6.6100,-0.088399,-0.007721,1.066250,-42.9428
6.6250,-0.089053,-0.007131,1.069357,-43.1259
6.6410,-0.089723,-0.006668,1.072385,-43.2370
6.6720,-0.090283,-0.006170,1.075125,-43.3556
6.6880,-0.090790,-0.005639,1.077707,-43.4016
6.7190,-0.091200,-0.005163,1.080170,-43.4403
6.7350,-0.091604,-0.004830,1.082585,-43.4596
6.7500,-0.092076,-0.004591,1.084902,-43.5586
6.7660,-0.092589,-0.004479,1.087140,-43.6934
6.7820,-0.093005,-0.004374,1.089157,-43.7736
6.8130,-0.093345,-0.004303,1.091073,-43.7335
6.8290,-0.093748,-0.004394,1.092945,-43.6907
6.8440,-0.094084,-0.004496,1.094720,-43.7050
6.8600,-0.094503,-0.004557,1.096390,-43.7059
6.8910,-0.094923,-0.004548,1.097845,-43.5801
6.9070,-0.095315,-0.004474,1.099142,-43.3478
6.9220,-0.095654,-0.004443,1.100448,-43.1744
6.9540,-0.095766,-0.004446,1.101914,-43.1601
6.9690,-0.095906,-0.004454,1.103533,-43.1979
6.9850,-0.096115,-0.004498,1.105052,-43.1334
7.0000,-0.096463,-0.004472,1.106453,-42.9174
7.0320,-0.096543,-0.004315,1.107633,-42.7034
7.0470,-0.096646,-0.004261,1.108726,-42.5268
7.0630,-0.096596,-0.004297,1.109844,-42.5792
7.0790,-0.096498,-0.004335,1.110909,-42.7160
7.1100,-0.096473,-0.004340,1.111929,-42.6099
7.1250,-0.096321,-0.004244,1.112842,-42.3657
7.1570,-0.096288,-0.004318,1.113682,-42.1599
7.1720,-0.096475,-0.004634,1.114387,-42.1985
7.1880,-0.096653,-0.004970,1.115050,-42.3151
7.2040,-0.096764,-0.005185,1.115704,-42.2654
7.2350,-0.096819,-0.005348,1.116474,-42.1589
7.2500,-0.096857,-0.005616,1.117344,-42.1748
7.2660,-0.096886,-0.006023,1.118132,-42.2940
7.2820,-0.096881,-0.006498,1.118779,-42.3748
7.3130,-0.096198,-0.006788,1.119929,-42.5060
7.3290,-0.095579,-0.007205,1.120993,-42.6767
7.3440,-0.094876,-0.007565,1.122054,-42.7814
7.3600,-0.094301,-0.007862,1.122898,-42.6087
7.3910,-0.093299,-0.008009,1.123824,-42.4322
7.4070,-0.093072,-0.008617,1.124444,-42.3861
7.4220,-0.092849,-0.009327,1.125013,-42.4709
7.4380,-0.092630,-0.010023,1.125586,-42.4961
7.4690,-0.092405,-0.010664,1.126124,-42.3916
7.4850,-0.091220,-0.010399,1.126990,-42.3400
7.5000,-0.090510,-0.010745,1.127428,-42.1468
7.5320,-0.089547,-0.011196,1.127779,-41.9910
7.5470,-0.088044,-0.011494,1.128285,-41.8996
7.5630,-0.086512,-0.011885,1.128658,-41.7482
7.5790,-0.085060,-0.012370,1.128884,-41.5647
7.6100,-0.083163,-0.012794,1.128991,-41.4980
7.6250,-0.081427,-0.013364,1.128863,-41.4932
7.6410,-0.079645,-0.013907,1.128739,-41.5565
7.6720,-0.077506,-0.014240,1.128854,-41.6295
7.6880,-0.075143,-0.014350,1.129220,-41.6050
7.7040,-0.072805,-0.014366,1.129862,-41.5009
7.7190,-0.070857,-0.014507,1.130627,-41.2514
7.7500,-0.068680,-0.014632,1.131367,-41.0528
7.7660,-0.066409,-0.014907,1.132051,-40.9501
7.7820,-0.064191,-0.015393,1.132607,-40.9848
7.8130,-0.061634,-0.015798,1.133297,-41.0324
7.8290,-0.058553,-0.015967,1.134271,-40.8799
7.8440,-0.055404,-0.015976,1.135359,-40.6326
7.8600,-0.052710,-0.016229,1.136335,-40.3308
7.8910,-0.050974,-0.016280,1.136852,-40.0736
7.9070,-0.047774,-0.017835,1.137767,-39.9863
7.9220,-0.044609,-0.018846,1.138696,-40.1535
7.9540,-0.041494,-0.020181,1.139776,-40.4563
7.9690,-0.039940,-0.022393,1.140597,-40.6419
7.9850,-0.038328,-0.024748,1.141647,-40.6578
8.0000,-0.036671,-0.027340,1.142710,-40.6836
8.0320,-0.034967,-0.030207,1.143553,-40.8244
8.0470,-0.033257,-0.033231,1.144171,-40.9414
8.0630,-0.031563,-0.036304,1.144759,-40.8395
8.0790,-0.029884,-0.039507,1.145414,-40.6915
8.1100,-0.028178,-0.042949,1.146076,-40.6924
8.1250,-0.020913,-0.045349,1.148917,-40.7081
8.1410,-0.017314,-0.048502,1.150216,-40.7219
8.1720,-0.014978,-0.052024,1.151056,-40.3944
8.1880,-0.012131,-0.055322,1.151927,-40.1277
8.2040,-0.009521,-0.059025,1.152864,-40.0850
8.2190,-0.007166,-0.063111,1.153774,-40.0873
8.2500,-0.004454,-0.067098,1.154716,-40.1643
8.2660,-0.002747,-0.071583,1.155345,-40.0011
8.2820,0.000198,-0.075755,1.156263,-39.8758
8.3130,0.001429,-0.080408,1.156747,-39.5532
8.3290,0.003931,-0.084589,1.157602,-39.3145
8.3440,0.004557,-0.086897,1.157891,-39.3112
8.3600,0.007457,-0.091075,1.158936,-39.1745
8.3910,0.009501,-0.095674,1.159911,-38.9226
8.4070,0.011714,-0.099897,1.161239,-38.5532
8.4220,0.014743,-0.103849,1.162827,-38.2649
8.4540,0.016254,-0.108594,1.163973,-38.1317
8.4690,0.019360,-0.112628,1.165198,-37.8929
8.4850,0.021627,-0.116892,1.165910,-37.5721
8.5000,0.024221,-0.120951,1.166728,-37.2087
8.5320,0.026742,-0.125092,1.167659,-37.0668
8.5470,0.029378,-0.129109,1.168551,-36.9789
8.5630,0.031336,-0.133364,1.169043,-36.7514
8.5790,0.032976,-0.137378,1.169188,-36.3754
8.6100,0.035279,-0.140942,1.169459,-35.9908
8.6250,0.037223,-0.144568,1.169833,-35.6967
8.6410,0.039029,-0.148177,1.170534,-35.4321
8.6570,0.042411,-0.153067,1.171822,-34.8778
8.6880,0.044481,-0.156341,1.172452,-34.6364
8.7040,0.047219,-0.159245,1.173186,-34.4254
8.7350,0.049455,-0.162278,1.174019,-34.1387
8.7500,0.050752,-0.163925,1.174435,-33.9667
